mouse_ensembl_gene,times_equal_or_more_extreme,p,mouse_symbol,q,aPD1_H_21,aPD1_S_69,aPD1_90,untreated_H_79,untreated_S_27,untreated_106
ENSMUSG00000000001,1000000,1.0,Gnai3,1.0,0,0,0,0,0,0
ENSMUSG00000000028,1000000,1.0,Cdc45,1.0,0,0,0,0,0,0
ENSMUSG00000000037,209677,0.20967779032220968,Scml2,1.0,1,0,1,0,0,0
ENSMUSG00000000049,719704,0.7197042802957198,Apoh,1.0,0,1,1,0,0,0
ENSMUSG00000000056,1000000,1.0,Narf,1.0,0,0,0,0,0,0
ENSMUSG00000000058,1000000,1.0,Cav2,1.0,0,0,0,0,0,0
ENSMUSG00000000078,1000000,1.0,Klf6,1.0,0,0,0,0,0,0
ENSMUSG00000000085,1000000,1.0,Scmh1,1.0,0,0,0,0,0,0
ENSMUSG00000000088,1000000,1.0,Cox5a,1.0,0,0,0,0,0,0
ENSMUSG00000000093,1000000,1.0,Tbx2,1.0,0,0,0,0,0,0
ENSMUSG00000000094,1000000,1.0,Tbx4,1.0,0,0,0,0,0,0
ENSMUSG00000000120,1000000,1.0,Ngfr,1.0,0,0,0,0,0,0
ENSMUSG00000000125,1000000,1.0,Wnt3,1.0,0,0,0,0,0,0
ENSMUSG00000000126,1000000,1.0,Wnt9a,1.0,0,0,0,0,0,0
ENSMUSG00000000127,1000000,1.0,Fer,1.0,0,1,1,0,1,1
ENSMUSG00000000131,372995,0.372995627004373,Xpo6,1.0,0,0,0,1,1,2
ENSMUSG00000000134,1000000,1.0,Tfe3,1.0,0,0,0,0,0,0
ENSMUSG00000000142,1000000,1.0,Axin2,1.0,0,0,0,0,0,0
ENSMUSG00000000148,1000000,1.0,Brat1,1.0,0,0,0,0,0,0
ENSMUSG00000000149,209677,0.20967779032220968,Gna12,1.0,1,0,1,0,0,0
ENSMUSG00000000154,1000000,1.0,Slc22a18,1.0,0,0,0,0,0,0
ENSMUSG00000000159,1000000,1.0,Igsf5,1.0,0,0,0,0,0,0
ENSMUSG00000000167,1000000,1.0,Pih1d2,1.0,0,0,0,0,0,0
ENSMUSG00000000168,1000000,1.0,Dlat,1.0,0,0,0,0,0,0
ENSMUSG00000000171,1000000,1.0,Sdhd,1.0,0,0,0,0,0,0
ENSMUSG00000000182,1000000,1.0,Fgf23,1.0,0,0,0,0,0,0
ENSMUSG00000000183,1000000,1.0,Fgf6,1.0,0,0,0,0,0,0
ENSMUSG00000000184,1000000,1.0,Ccnd2,1.0,0,0,0,0,0,0
ENSMUSG00000000194,1000000,1.0,Gpr107,1.0,0,0,0,0,0,0
ENSMUSG00000000197,1000000,1.0,Nalcn,1.0,0,0,0,0,1,1
ENSMUSG00000000202,1000000,1.0,Btbd17,1.0,0,0,0,0,0,0
ENSMUSG00000000214,1000000,1.0,Th,1.0,0,0,0,0,0,0
ENSMUSG00000000215,1000000,1.0,Ins2,1.0,0,0,0,0,0,0
ENSMUSG00000000216,1000000,1.0,Scnn1g,1.0,0,0,0,0,0,0
ENSMUSG00000000223,1000000,1.0,Drp2,1.0,0,0,0,0,0,0
ENSMUSG00000000244,1000000,1.0,Tspan32,1.0,0,0,0,0,0,0
ENSMUSG00000000247,1000000,1.0,Lhx2,1.0,0,0,0,0,0,0
ENSMUSG00000000253,1000000,1.0,Gmpr,1.0,0,0,0,0,0,0
ENSMUSG00000000263,1000000,1.0,Glra1,1.0,0,0,0,0,0,0
ENSMUSG00000000266,1000000,1.0,Mid2,1.0,0,0,0,0,0,0
