mouse_ensembl_gene,expected,observed,p,q,gene
ENSMUSG00000000001,0.573651722068655,0,1.0,1.0,Gnai3
ENSMUSG00000000028,0.573651722068655,0,1.0,1.0,Cdc45
ENSMUSG00000000037,0.573651722068655,2,0.11330380685624099,1.0,Scml2
ENSMUSG00000000049,0.573651722068655,1,0.43653593694915777,1.0,Apoh
ENSMUSG00000000056,0.573651722068655,0,1.0,1.0,Narf
ENSMUSG00000000058,0.5663207096460523,0,1.0,1.0,Cav2
ENSMUSG00000000078,0.2987387562210567,0,1.0,1.0,Klf6
ENSMUSG00000000085,0.573651722068655,2,0.11330380685624099,1.0,Scmh1
ENSMUSG00000000088,0.2749129658475982,0,1.0,1.0,Cox5a
ENSMUSG00000000093,0.5663207096460523,0,1.0,1.0,Tbx2
ENSMUSG00000000094,0.5663207096460523,0,1.0,1.0,Tbx4
ENSMUSG00000000120,0.0971359145994847,0,1.0,1.0,Ngfr
ENSMUSG00000000125,0.573651722068655,0,1.0,1.0,Wnt3
ENSMUSG00000000126,0.2749129658475982,0,1.0,1.0,Wnt9a
ENSMUSG00000000127,0.2749129658475982,2,0.03152736507714968,0.5364969178257425,Fer
ENSMUSG00000000131,0.573651722068655,3,0.0205924728283804,0.38435548033210987,Xpo6
ENSMUSG00000000134,0.2987387562210567,0,1.0,1.0,Tfe3
ENSMUSG00000000142,0.573651722068655,1,0.43653593694915777,1.0,Axin2
ENSMUSG00000000148,0.573651722068655,0,1.0,1.0,Brat1
ENSMUSG00000000149,0.573651722068655,2,0.11330380685624099,1.0,Gna12
ENSMUSG00000000154,0.573651722068655,0,1.0,1.0,Slc22a18
ENSMUSG00000000159,0.573651722068655,0,1.0,1.0,Igsf5
ENSMUSG00000000167,0.2749129658475982,0,1.0,1.0,Pih1d2
ENSMUSG00000000168,0.2749129658475982,0,1.0,1.0,Dlat
ENSMUSG00000000171,0.2749129658475982,0,1.0,1.0,Sdhd
ENSMUSG00000000182,0.573651722068655,0,1.0,1.0,Fgf23
ENSMUSG00000000183,0.573651722068655,0,1.0,1.0,Fgf6
ENSMUSG00000000184,0.573651722068655,0,1.0,1.0,Ccnd2
ENSMUSG00000000194,0.573651722068655,2,0.11330380685624099,1.0,Gpr107
ENSMUSG00000000197,0.573651722068655,2,0.11330380685624099,1.0,Nalcn
ENSMUSG00000000202,0.573651722068655,0,1.0,1.0,Btbd17
ENSMUSG00000000214,0.573651722068655,0,1.0,1.0,Th
ENSMUSG00000000215,0.573651722068655,0,1.0,1.0,Ins2
ENSMUSG00000000216,0.573651722068655,0,1.0,1.0,Scnn1g
ENSMUSG00000000223,0.573651722068655,0,1.0,1.0,Drp2
ENSMUSG00000000244,0.573651722068655,0,1.0,1.0,Tspan32
ENSMUSG00000000247,0.573651722068655,0,1.0,1.0,Lhx2
ENSMUSG00000000253,0.573651722068655,1,0.43653593694915777,1.0,Gmpr
ENSMUSG00000000263,0.2749129658475982,0,1.0,1.0,Glra1
ENSMUSG00000000266,0.573651722068655,0,1.0,1.0,Mid2
ENSMUSG00000000275,0.573651722068655,2,0.11330380685624099,1.0,Trim25
ENSMUSG00000000276,0.573651722068655,0,1.0,1.0,Dgke
ENSMUSG00000000278,0.573651722068655,0,1.0,1.0,Scpep1
ENSMUSG00000000282,0.573651722068655,0,1.0,1.0,Mnt
ENSMUSG00000000290,0.573651722068655,0,1.0,1.0,Itgb2
ENSMUSG00000000295,0.573651722068655,0,1.0,1.0,Hddc2
ENSMUSG00000000296,0.573651722068655,4,0.0028644673549255584,0.08885028668903815,Tpd52l1
ENSMUSG00000000301,0.2749129658475982,1,0.2403617651821572,1.0,Pemt
ENSMUSG00000000303,0.4105366956657467,1,0.3367058325139457,1.0,Cdh1
ENSMUSG00000000305,0.573651722068655,2,0.11330380685624099,1.0,Cdh4
ENSMUSG00000000308,0.573651722068655,0,1.0,1.0,Ckmt1
ENSMUSG00000000317,0.573651722068655,0,1.0,1.0,Bcl6b
ENSMUSG00000000318,0.573651722068655,0,1.0,1.0,Clec10a
ENSMUSG00000000320,0.573651722068655,0,1.0,1.0,Alox12
ENSMUSG00000000325,0.573651722068655,0,1.0,1.0,Arvcf
ENSMUSG00000000326,0.573651722068655,0,1.0,1.0,Comt
ENSMUSG00000000339,0.573651722068655,0,1.0,1.0,Rtca
ENSMUSG00000000340,0.573651722068655,1,0.43653593694915777,1.0,Dbt
ENSMUSG00000000346,0.5663207096460523,0,1.0,1.0,Dazap2
ENSMUSG00000000355,0.573651722068655,0,1.0,1.0,Mcts1
ENSMUSG00000000359,0.573651722068655,0,1.0,1.0,Rem1
ENSMUSG00000000365,0.2749129658475982,0,1.0,1.0,Rnf17
ENSMUSG00000000374,0.573651722068655,1,0.43653593694915777,1.0,Trappc10
ENSMUSG00000000378,0.2987387562210567,0,1.0,1.0,Ccm2
ENSMUSG00000000384,0.2987387562210567,0,1.0,1.0,Tbrg4
ENSMUSG00000000385,0.573651722068655,0,1.0,1.0,Tmprss2
ENSMUSG00000000392,0.2749129658475982,1,0.2403617651821572,1.0,Fap
ENSMUSG00000000394,0.2749129658475982,0,1.0,1.0,Gcg
ENSMUSG00000000399,0.573651722068655,0,1.0,1.0,Ndufa9
ENSMUSG00000000402,0.5351639068499912,0,1.0,1.0,Egfl6
ENSMUSG00000000409,0.5644879565404016,0,1.0,1.0,Lck
ENSMUSG00000000411,0.573651722068655,0,1.0,1.0,Tssk3
ENSMUSG00000000416,0.573651722068655,2,0.11330380685624099,1.0,Cttnbp2
ENSMUSG00000000420,0.5663207096460523,1,0.4323899965009572,1.0,Galnt1
ENSMUSG00000000435,0.573651722068655,0,1.0,1.0,Myf5
ENSMUSG00000000439,0.573651722068655,0,1.0,1.0,Mkrn2
ENSMUSG00000000440,0.573651722068655,1,0.43653593694915777,1.0,Pparg
ENSMUSG00000000441,0.573651722068655,2,0.11330380685624099,1.0,Raf1
ENSMUSG00000000486,0.573651722068655,0,1.0,1.0,Sept1
ENSMUSG00000000489,0.5663207096460523,0,1.0,1.0,Pdgfb
ENSMUSG00000000530,0.5626552034347511,0,1.0,1.0,Acvrl1
ENSMUSG00000000531,0.5626552034347511,0,1.0,1.0,Grasp
ENSMUSG00000000532,0.5626552034347511,0,1.0,1.0,Acvr1b
ENSMUSG00000000538,0.2749129658475982,0,1.0,1.0,Tom1l2
ENSMUSG00000000544,0.5351639068499912,1,0.41442669719698416,1.0,Gpa33
ENSMUSG00000000552,0.573651722068655,0,1.0,1.0,Zfp385a
ENSMUSG00000000555,0.573651722068655,1,0.43653593694915777,1.0,Itga5
ENSMUSG00000000560,0.573651722068655,1,0.43653593694915777,1.0,Gabra2
ENSMUSG00000000561,0.4105366956657467,0,1.0,1.0,Wdr77
ENSMUSG00000000563,0.4105366956657467,1,0.3367058325139457,1.0,Atp5f1
ENSMUSG00000000567,0.5663207096460523,0,1.0,1.0,Sox9
ENSMUSG00000000568,0.5553241910121484,1,0.4261138177067838,1.0,Hnrnpd
ENSMUSG00000000581,0.5663207096460523,0,1.0,1.0,C1d
ENSMUSG00000000594,0.2749129658475982,0,1.0,1.0,Gm2a
ENSMUSG00000000600,0.2877422375871528,1,0.2500451224941148,1.0,Krit1
ENSMUSG00000000605,0.2987387562210567,0,1.0,1.0,Clcn4
ENSMUSG00000000617,0.2749129658475982,0,1.0,1.0,Grm6
ENSMUSG00000000627,0.5534914379064978,0,1.0,1.0,Sema4f
ENSMUSG00000000628,0.5663207096460523,0,1.0,1.0,Hk2
ENSMUSG00000000631,0.573651722068655,1,0.43653593694915777,1.0,Myo18a
ENSMUSG00000000632,0.573651722068655,0,1.0,1.0,Sez6
ENSMUSG00000000673,0.5443276723782444,0,1.0,1.0,Haao
ENSMUSG00000000682,0.573651722068655,0,1.0,1.0,Cd52
ENSMUSG00000000686,0.573651722068655,0,1.0,1.0,Abhd15
ENSMUSG00000000690,0.573651722068655,0,1.0,1.0,Hoxb6
ENSMUSG00000000693,0.5534914379064978,0,1.0,1.0,Loxl3
ENSMUSG00000000706,0.5663207096460523,0,1.0,1.0,Btn1a1
ENSMUSG00000000708,0.2749129658475982,1,0.2403617651821572,1.0,Kat2b
ENSMUSG00000000711,0.573651722068655,0,1.0,1.0,Rab5b
ENSMUSG00000000724,0.573651722068655,0,1.0,1.0,Cryba1
ENSMUSG00000000730,0.573651722068655,0,1.0,1.0,Dnmt3l
ENSMUSG00000000731,0.573651722068655,0,1.0,1.0,Aire
ENSMUSG00000000732,0.573651722068655,0,1.0,1.0,Icosl
ENSMUSG00000000738,0.573651722068655,0,1.0,1.0,Spg7
ENSMUSG00000000740,0.573651722068655,0,1.0,1.0,Rpl13
ENSMUSG00000000743,0.573651722068655,0,1.0,1.0,Chmp1a
ENSMUSG00000000751,0.573651722068655,2,0.11330380685624099,1.0,Rpa1
ENSMUSG00000000753,0.573651722068655,0,1.0,1.0,Serpinf1
ENSMUSG00000000759,0.5333311537443406,1,0.41335250184093214,1.0,Tubgcp3
ENSMUSG00000000766,0.2987387562210567,0,1.0,1.0,Oprm1
ENSMUSG00000000776,0.573651722068655,0,1.0,1.0,Polr3d
ENSMUSG00000000782,0.2749129658475982,0,1.0,1.0,Tcf7
ENSMUSG00000000787,0.5186691288991353,1,0.4046876950672762,1.0,Ddx3x
ENSMUSG00000000791,0.573651722068655,0,1.0,1.0,Il12rb1
ENSMUSG00000000792,0.573651722068655,0,1.0,1.0,Slc5a5
ENSMUSG00000000794,0.5663207096460523,1,0.4323899965009572,1.0,Kcnn3
ENSMUSG00000000804,0.5644879565404016,1,0.4313487536251487,1.0,Usp32
ENSMUSG00000000805,0.5644879565404016,0,1.0,1.0,Car4
ENSMUSG00000000811,0.5663207096460523,0,1.0,1.0,Txnrd3
ENSMUSG00000000817,0.573651722068655,0,1.0,1.0,Fasl
ENSMUSG00000000823,0.573651722068655,0,1.0,1.0,Zfp512b
ENSMUSG00000000826,0.573651722068655,1,0.43653593694915777,1.0,Dnajc5
ENSMUSG00000000827,0.573651722068655,0,1.0,1.0,Tpd52l2
ENSMUSG00000000838,0.2749129658475982,1,0.2403617651821572,1.0,Fmr1
ENSMUSG00000000861,0.5663207096460523,2,0.11094069651718114,1.0,Bcl11a
