gene,chromosome,insertions,expected,p,q
ENSMUSG00000000544,1,0.0,0.09877366220851909,1.0,1.0
ENSMUSG00000000817,1,0.0,0.021776870408177437,1.0,1.0
ENSMUSG00000001138,1,0.0,0.0342207963557074,1.0,1.0
ENSMUSG00000001143,1,0.0,0.08788522700443037,1.0,1.0
ENSMUSG00000001305,1,0.0,0.10732886129744594,1.0,1.0
ENSMUSG00000001674,1,0.0,0.055219921392164216,1.0,1.0
ENSMUSG00000002459,1,0.0,0.6984153438051193,1.0,1.0
ENSMUSG00000002881,1,0.0,0.2224351763120981,1.0,1.0
ENSMUSG00000003051,1,0.0,0.005444217602044359,1.0,1.0
ENSMUSG00000003134,1,0.0,0.3764287599127814,1.0,1.0
ENSMUSG00000003135,1,0.0,0.04510923155979612,1.0,1.0
ENSMUSG00000003458,1,0.0,0.05288668527700235,1.0,1.0
ENSMUSG00000003464,1,0.0,0.03188756024054553,1.0,1.0
ENSMUSG00000003721,1,0.0,0.1438828937683152,1.0,1.0
ENSMUSG00000004031,1,0.0,0.4619807508020499,1.0,1.0
ENSMUSG00000004110,1,0.0,1.7413718872824744,1.0,1.0
ENSMUSG00000004364,1,0.0,0.5934197186228352,1.0,1.0
ENSMUSG00000004451,1,0.0,0.0925516992347541,1.0,1.0
ENSMUSG00000004552,1,0.0,0.11821729650153466,1.0,1.0
ENSMUSG00000004707,1,0.0,0.07077482882657667,1.0,1.0
ENSMUSG00000004709,1,0.0,0.07933002791550352,1.0,1.0
ENSMUSG00000004768,1,0.0,0.08477424551754788,1.0,1.0
ENSMUSG00000004872,1,0.0,0.48453536658194796,1.0,1.0
ENSMUSG00000004880,1,0.0,0.11510631501465217,1.0,1.0
ENSMUSG00000005338,1,0.0,0.10344013443884283,1.0,1.0
ENSMUSG00000005339,1,0.0,0.028776578753663042,1.0,1.0
ENSMUSG00000005501,1,0.0,0.31965334777717597,1.0,1.0
ENSMUSG00000005674,1,0.0,0.003888726858603114,1.0,1.0
ENSMUSG00000005677,1,0.0,0.012443925947529964,1.0,1.0
ENSMUSG00000005681,1,0.0,0.003888726858603114,1.0,1.0
ENSMUSG00000005763,1,0.0,0.24421204672027555,1.0,1.0
ENSMUSG00000005886,1,0.0,1.0639556685138118,1.0,1.0
ENSMUSG00000006005,1,0.0,0.42698220907462187,1.0,1.0
ENSMUSG00000006007,1,0.0,0.10110689832368096,1.0,1.0
ENSMUSG00000006010,1,0.0,0.1983250697887588,1.0,1.0
ENSMUSG00000006014,1,0.0,0.07933002791550352,1.0,1.0
ENSMUSG00000006299,1,0.0,0.011666180575809341,1.0,1.0
ENSMUSG00000006301,1,0.0,0.0342207963557074,1.0,1.0
ENSMUSG00000006304,1,0.0,0.15477132897240392,1.0,1.0
ENSMUSG00000006403,1,0.0,0.016332652806133077,1.0,1.0
ENSMUSG00000006411,1,0.0,0.030332069497104288,1.0,1.0
ENSMUSG00000006412,1,0.0,0.06221962973764982,1.0,1.0
ENSMUSG00000006538,1,0.0,0.006221962973764982,1.0,1.0
ENSMUSG00000006542,1,0.0,0.021776870408177437,1.0,1.0
ENSMUSG00000006546,1,0.0,0.002333236115161868,1.0,1.0
ENSMUSG00000006576,1,0.0,0.016332652806133077,1.0,1.0
