gene,chromosome,insertions,expected,p,q
ENSMUSG00000000544,1,0.0,0.0473290464749154,1.0,1.0
ENSMUSG00000000817,1,0.0,0.010434750403918355,1.0,1.0
ENSMUSG00000001138,1,0.0,0.01639746492044313,1.0,1.0
ENSMUSG00000001143,1,0.0,0.042111671272956216,1.0,1.0
ENSMUSG00000001305,1,0.0,0.051428412705026176,1.0,1.0
ENSMUSG00000001674,1,0.0,0.026459545667078685,1.0,1.0
ENSMUSG00000002459,1,0.0,0.33465735223995297,1.0,1.0
ENSMUSG00000002881,1,0.0,0.10658352198288035,1.0,1.0
ENSMUSG00000003051,1,0.0,0.0026086876009795887,1.0,1.0
ENSMUSG00000003134,1,0.0,0.18037211412487442,1.0,1.0
ENSMUSG00000003135,1,0.0,0.021614840122402307,1.0,1.0
ENSMUSG00000003458,1,0.0,0.02534153669523029,1.0,1.0
ENSMUSG00000003464,1,0.0,0.015279455948594735,1.0,1.0
ENSMUSG00000003721,1,0.0,0.0689438865973177,1.0,1.0
ENSMUSG00000004031,1,0.0,0.22136577642598224,1.0,1.0
ENSMUSG00000004110,1,0.0,0.8344073626561856,1.0,1.0
ENSMUSG00000004364,1,0.0,0.28434694850677517,1.0,1.0
ENSMUSG00000004451,1,0.0,0.04434768921665301,1.0,1.0
ENSMUSG00000004552,1,0.0,0.05664578790698536,1.0,1.0
ENSMUSG00000004707,1,0.0,0.033912938812734654,1.0,1.0
ENSMUSG00000004709,1,0.0,0.03801230504284544,1.0,1.0
ENSMUSG00000004768,1,0.0,0.04062099264382502,1.0,1.0
ENSMUSG00000004872,1,0.0,0.2321731964871834,1.0,1.0
ENSMUSG00000004880,1,0.0,0.055155109277854164,1.0,1.0
ENSMUSG00000005338,1,0.0,0.049565064418612186,1.0,1.0
ENSMUSG00000005339,1,0.0,0.013788777319463541,1.0,1.0
ENSMUSG00000005501,1,0.0,0.15316722914323014,1.0,1.0
ENSMUSG00000005674,1,0.0,0.001863348286413992,1.0,1.0
ENSMUSG00000005677,1,0.0,0.005962714516524774,1.0,1.0
ENSMUSG00000005681,1,0.0,0.001863348286413992,1.0,1.0
ENSMUSG00000005763,1,0.0,0.1170182723867987,1.0,1.0
ENSMUSG00000005886,1,0.0,0.5098120911628682,1.0,1.0
ENSMUSG00000006005,1,0.0,0.20459564184825632,1.0,1.0
ENSMUSG00000006007,1,0.0,0.04844705544676379,1.0,1.0
ENSMUSG00000006010,1,0.0,0.09503076260711359,1.0,1.0
ENSMUSG00000006014,1,0.0,0.03801230504284544,1.0,1.0
ENSMUSG00000006299,1,0.0,0.005590044859241976,1.0,1.0
ENSMUSG00000006301,1,0.0,0.01639746492044313,1.0,1.0
ENSMUSG00000006304,1,0.0,0.07416126179927689,1.0,1.0
ENSMUSG00000006403,1,0.0,0.007826062802938766,1.0,1.0
ENSMUSG00000006411,1,0.0,0.014534116634029138,1.0,1.0
ENSMUSG00000006412,1,0.0,0.029813572582623873,1.0,1.0
ENSMUSG00000006538,1,0.0,0.002981357258262387,1.0,1.0
ENSMUSG00000006542,1,0.0,0.010434750403918355,1.0,1.0
ENSMUSG00000006546,1,0.0,0.0011180089718483951,1.0,1.0
ENSMUSG00000006576,1,0.0,0.007826062802938766,1.0,1.0
ENSMUSG00000007097,1,0.0,0.030931581554472266,1.0,1.0
ENSMUSG00000007107,1,0.0,0.06484452036720692,1.0,1.0
ENSMUSG00000007122,1,0.0,0.008198732460221564,1.0,1.0
ENSMUSG00000007805,1,0.0,0.0,1.0,1.0
ENSMUSG00000008136,1,0.0,0.13378840696452463,1.0,1.0
ENSMUSG00000008475,1,0.0,0.022360179436967904,1.0,1.0
ENSMUSG00000009418,1,0.0,0.3599988889351832,1.0,1.0
ENSMUSG00000009633,1,0.0,0.0,1.0,1.0
ENSMUSG00000009772,1,0.0,0.018260813206857122,1.0,1.0
ENSMUSG00000009905,1,0.0,0.06037248447981334,1.0,1.0
ENSMUSG00000009907,1,0.0,0.07490660111384248,1.0,1.0
ENSMUSG00000010175,1,0.0,0.09428542329254799,1.0,1.0
ENSMUSG00000010290,1,0.0,0.03279492984088626,1.0,1.0
ENSMUSG00000010311,1,0.0,0.011180089718483952,1.0,1.0
ENSMUSG00000010453,1,0.0,0.05925447550796495,1.0,1.0
ENSMUSG00000010609,1,0.0,0.04472035887393581,1.0,1.0
ENSMUSG00000012187,1,0.0,0.043975019559370214,1.0,1.0
ENSMUSG00000013275,1,0.0,0.01639746492044313,1.0,1.0
ENSMUSG00000013593,1,0.0,0.019751491835988316,1.0,1.0
ENSMUSG00000013698,1,0.0,0.008944071774787161,1.0,1.0
ENSMUSG00000013973,1,0.0,0.026459545667078685,1.0,1.0
ENSMUSG00000013997,1,0.0,0.013416107662180743,1.0,1.0
ENSMUSG00000014226,1,0.0,0.026832215324361485,1.0,1.0
ENSMUSG00000014602,1,0.0,0.08124198528765005,1.0,1.0
ENSMUSG00000014980,1,0.0,0.04062099264382502,1.0,1.0
ENSMUSG00000015222,1,0.0,0.7531653773685356,1.0,1.0
ENSMUSG00000015314,1,0.0,0.06223583276622733,1.0,1.0
ENSMUSG00000015316,1,0.0,0.05925447550796495,1.0,1.0
ENSMUSG00000015355,1,0.0,0.050310403733177786,1.0,1.0
ENSMUSG00000015484,1,0.0,0.12819836210528265,1.0,1.0
ENSMUSG00000015829,1,0.0,0.7464573235374452,1.0,1.0
ENSMUSG00000015843,1,0.0,0.058881805850682145,1.0,1.0
ENSMUSG00000015961,1,0.0,0.09950279849450717,1.0,1.0
ENSMUSG00000015962,1,0.0,0.040993662301107826,1.0,1.0
ENSMUSG00000016179,1,0.0,0.023850858066099098,1.0,1.0
