chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	4954020	4954019	4954134	True	0	1	8	0
1	4969999	4969998	4970019	True	0	1	1	0
1	5096431	5096430	5096576	True	0	1	14	0
1	5096431	5096430	5096573	True	0	1	1	0
1	6407584	6407583	6407725	True	0	1	1	0
1	6625011	6625010	6625270	True	0	1	1	0
1	6625011	6625010	6625274	True	0	1	5	0
1	10649625	10649627	10649541	True	1	0	1	0
1	10755510	10755512	10755396	True	1	0	2	0
1	12848513	12848512	12848622	True	0	1	2	0
1	14315185	14315184	14315612	True	0	1	4	0
1	14998797	14998796	14998969	True	0	1	2	0
1	15806435	15806434	15806682	True	0	1	14	0
1	15819810	15819809	15819867	True	0	1	1	0
1	15819810	15819809	15819879	True	0	1	2	0
1	15819810	15819809	15819925	True	0	1	8	0
1	15819810	15819809	15819946	True	0	1	16	0
1	15819810	15819809	15819976	True	0	1	17	0
1	15819810	15819809	15819952	True	0	1	1	0
1	15819810	15819809	15820043	True	0	1	11	0
1	15819810	15819809	15820090	True	0	1	1	0
1	15819810	15819809	15820104	True	0	1	1	0
1	16481723	16481722	16481852	True	0	1	10	0
1	16685416	16685415	16685618	True	0	1	17	0
1	17060401	17060403	17060269	True	1	0	4	0
1	17146062	17146061	17146290	True	0	1	10	0
1	19755172	19755174	19755045	True	1	0	4	0
1	20450944	20450946	20450795	True	1	0	12	0
1	20450944	20450946	20450680	True	1	0	6	0
1	20450944	20450946	20450746	True	1	0	2	0
1	21052818	21052820	21052749	True	1	0	2	0
1	21825547	21825549	21825337	True	1	0	7	0
1	23418855	23418857	23418705	True	1	0	10	0
1	23418855	23418857	23418614	True	1	0	9	0
1	24377797	24377799	24377724	True	1	0	1	0
1	24700208	24700207	24700311	True	0	1	6	0
1	25167023	25167025	25166988	True	1	0	1	0
1	25948490	25948492	25948350	True	1	0	14	0
1	27864999	27865001	27864798	True	1	0	10	0
1	27864999	27865001	NA	True	1	1	1	0
1	29640153	29640152	29640290	False	0	1	9	0
1	32380730	32380732	32380598	True	1	0	15	0
1	34216172	34216171	34216247	True	0	1	1	0
1	34216172	34216171	34216325	True	0	1	12	0
1	34843497	34843496	34843701	True	0	1	21	0
1	36174228	36174227	36174473	True	0	1	3	0
1	36638385	36638384	36638484	True	0	1	9	0
1	36767064	36767066	36767006	True	1	0	1	0
1	36892485	36892487	NA	True	1	1	1	0
1	36892485	36892487	36892314	True	1	0	4	0
1	37301482	37301484	37301261	True	1	0	24	0
1	38106626	38106625	38106740	True	0	1	7	0
1	38591061	38591060	38591105	True	0	1	1	0
1	39104892	39104891	39105017	True	0	1	6	0
1	39440367	39440366	39440450	True	0	1	2	0
1	39440367	39440366	39440531	True	0	1	20	0
1	39440367	39440366	39440536	True	0	1	7	0
1	NA	NA	39440536	False	1	1	1	0
1	40887422	40887424	40887289	True	1	0	13	0
1	40954784	40954783	40954837	True	0	1	1	0
1	42726700	42726702	42726493	True	1	0	7	0
1	43482653	43482652	43482753	True	0	1	2	0
1	43753855	43753857	43753623	True	1	0	12	0
1	44084855	44084854	44085073	True	0	1	23	0
1	44951722	44951724	44951706	False	1	0	2	0
1	46852590	46852592	46852314	True	1	0	8	0
1	46852590	46852592	46852431	True	1	0	6	0
1	46852583	46852585	NA	False	1	1	1	0
1	48506106	48506108	48505954	True	1	0	5	0
1	48869281	48869280	48869386	True	0	1	4	0
1	48869281	48869280	48869466	True	0	1	23	0
1	51227483	51227482	51227508	True	0	1	1	0
1	51333853	51333855	51333675	True	1	0	12	0
1	51867195	51867194	51870281	True	0	1	6	0
1	52119145	52119147	52118906	True	1	0	13	0
1	53230881	53230880	53231027	True	0	1	13	0
1	53320870	53320872	53320676	True	1	0	13	0
1	53776684	53776686	53776564	True	1	0	8	0
1	54695336	54695338	54695195	True	1	0	16	0
1	57430131	57430133	57430049	True	1	0	1	0
1	58120779	58120781	58120747	True	1	0	1	0
1	58803327	58803326	58803569	True	0	1	20	0
1	59213523	59213522	59213694	True	0	1	11	0
1	59330408	59330407	59330478	True	0	1	2	0
1	59330408	59330407	59330511	True	0	1	3	0
1	59330408	59330407	59330523	True	0	1	4	0
1	59330408	59330407	59330652	True	0	1	1	0
1	59433925	59433927	59433877	True	1	0	1	0
1	60266504	60266506	60266368	True	1	0	9	0
1	61054305	61054304	61054418	True	0	1	13	0
1	62757287	62757286	62757371	True	0	1	1	0
1	63136642	63136641	63136810	True	0	1	12	0
1	63338545	63338544	63338667	True	0	1	4	0
1	64123130	64123129	64123262	True	0	1	2	0
1	64285805	64285807	64285644	True	1	0	2	0
1	64869085	64869087	64868875	True	1	0	10	0
1	64957128	64957127	64957204	True	0	1	1	0
1	65180096	65180095	65180182	True	0	1	2	0
1	65442363	65442365	65442054	True	1	0	8	0
1	66896476	66896478	66896404	True	1	0	1	0
1	67611207	67611209	67610864	True	1	0	9	0
1	68680569	68680568	68680783	True	0	1	11	0
1	69276614	69276616	69276577	True	1	0	2	0
1	69591415	69591414	69591555	True	0	1	4	0
