chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	10827455	10827454	10827569	True	0	1	5	0
1	26800940	26800942	26800696	True	1	0	21	0
1	64929352	64929354	64929223	True	1	0	3	0
1	106333732	106333734	106333578	True	1	0	1	0
1	106333732	106333734	NA	True	1	1	1	0
1	NA	NA	125897804	False	0	0	1	0
1	167000736	167000738	167000569	True	1	0	1	0
2	10604951	10604953	10604744	True	1	0	1	0
2	74843852	74843854	74843723	False	1	0	6	0
2	78979546	78979548	78979282	True	1	0	1	0
2	98667080	98667079	98667156	False	0	1	1	0
2	98667186	98667188	98667076	False	1	0	2	0
2	98667197	98667199	98666927	False	1	0	24	0
2	139494786	139494785	139495034	True	0	1	2	0
2	150357416	150357415	150357694	True	0	1	1	0
3	142788299	142788298	142788316	False	0	1	531	0
3	142788299	142788298	142788317	False	0	1	2	0
4	4675275	4675274	4675512	True	0	1	15	0
4	6689678	6689680	NA	True	1	1	1	0
4	15001269	15001268	15001370	True	0	1	1	0
4	15001269	15001268	15001400	True	0	1	4	0
4	32203594	32203596	32203432	True	1	0	3	0
5	27142642	27142641	27142903	False	0	1	17	0
5	NA	NA	28170183	False	0	0	18	0
5	42902467	42902469	42902234	True	1	0	8	0
5	139067201	139067203	139066654	True	1	0	6	0
6	35350833	35350835	35350734	True	1	0	1	0
6	61561444	61561443	61561751	True	0	1	1	0
6	91582320	91582322	91581982	False	1	0	1	0
7	73533320	73533319	73533515	True	0	1	13	0
7	83062302	83062301	83062701	True	0	1	14	0
7	86654087	86654086	86654294	True	0	1	16	0
7	98131525	98131527	98131279	False	1	0	22	0
9	62929576	62929575	62929848	True	0	1	1	0
10	3392639	3392638	3392814	True	0	1	1	0
10	3795583	3795582	3795701	True	0	1	3	0
10	5181629	5181631	5181493	True	1	0	6	0
10	7948541	7948543	7948378	True	1	0	5	0
10	30338194	30338196	30337881	True	1	0	5	0
10	32868567	32868566	32868656	True	0	1	1	0
10	35200528	35200530	35200282	True	1	0	14	0
10	37368881	37368883	37368691	True	1	0	6	0
10	43487646	43487648	43487371	True	1	0	1	0
10	45956616	45956615	45956724	True	0	1	2	0
10	59358936	59358938	NA	True	1	1	1	0
10	66515514	66515513	66515692	True	0	1	10	0
10	69796680	69796679	69796822	True	0	1	2	0
10	81387702	81387704	81387536	False	1	0	5	0
10	84536024	84536026	84535793	True	1	0	1	0
10	86172249	86172251	86172069	True	1	0	8	0
10	88242445	88242447	88242300	True	1	0	2	0
10	92066590	92066592	92066362	True	1	0	7	0
10	115412920	115412922	115412731	True	1	0	6	0
10	116701828	116701827	116701934	True	0	1	1	0
10	117606207	117606206	117606433	True	0	1	21	0
10	119688560	119688562	119688301	True	1	0	14	0
10	125366074	125366076	125365872	True	1	0	10	0
10	125366074	125366076	125365954	True	1	0	1	0
10	125366074	125366076	125365940	True	1	0	2	0
10	125366074	125366076	NA	True	1	1	1	0
11	41209697	41209696	41209720	True	0	1	1	0
11	54339231	54339233	54339048	True	1	0	1	0
11	106041006	106041005	106041159	True	0	1	9	0
12	13819306	13819308	13819174	True	1	0	1	0
