human_ensembl_gene,mouse_ensembl_gene,human_symbol,mouse_symbol,database_support
ENSG00000065135,ENSMUSG00000000001,GNAI3,Gnai3,11.0
ENSG00000093009,ENSMUSG00000000028,CDC45,Cdc45,11.0
ENSG00000130600,ENSMUSG00000000031,H19,H19,1.0
ENSG00000102098,ENSMUSG00000000037,SCML2,Scml2,7.0
ENSG00000091583,ENSMUSG00000000049,APOH,Apoh,12.0
ENSG00000141562,ENSMUSG00000000056,NARF,Narf,12.0
ENSG00000105971,ENSMUSG00000000058,CAV2,Cav2,12.0
ENSG00000067082,ENSMUSG00000000078,KLF6,Klf6,11.0
ENSG00000010803,ENSMUSG00000000085,SCMH1,Scmh1,12.0
ENSG00000178741,ENSMUSG00000000088,COX5A,Cox5a,12.0
ENSG00000121068,ENSMUSG00000000093,TBX2,Tbx2,11.0
ENSG00000121075,ENSMUSG00000000094,TBX4,Tbx4,10.0
ENSG00000064300,ENSMUSG00000000120,NGFR,Ngfr,12.0
ENSG00000108379,ENSMUSG00000000125,WNT3,Wnt3,11.0
ENSG00000143816,ENSMUSG00000000126,WNT9A,Wnt9a,12.0
ENSG00000151422,ENSMUSG00000000127,FER,Fer,11.0
ENSG00000169180,ENSMUSG00000000131,XPO6,Xpo6,12.0
ENSG00000068323,ENSMUSG00000000134,TFE3,Tfe3,11.0
ENSG00000168646,ENSMUSG00000000142,AXIN2,Axin2,11.0
ENSG00000106009,ENSMUSG00000000148,BRAT1,Brat1,12.0
ENSG00000146535,ENSMUSG00000000149,GNA12,Gna12,12.0
ENSG00000110628,ENSMUSG00000000154,SLC22A18,Slc22a18,11.0
ENSG00000183067,ENSMUSG00000000159,IGSF5,Igsf5,11.0
ENSG00000150773,ENSMUSG00000000167,PIH1D2,Pih1d2,12.0
ENSG00000150768,ENSMUSG00000000168,DLAT,Dlat,11.0
ENSG00000204370,ENSMUSG00000000171,SDHD,Sdhd,11.0
ENSG00000118972,ENSMUSG00000000182,FGF23,Fgf23,12.0
ENSG00000111241,ENSMUSG00000000183,FGF6,Fgf6,12.0
ENSG00000118971,ENSMUSG00000000184,CCND2,Ccnd2,12.0
ENSG00000148358,ENSMUSG00000000194,GPR107,Gpr107,11.0
ENSG00000102452,ENSMUSG00000000197,NALCN,Nalcn,11.0
ENSG00000204347,ENSMUSG00000000202,BTBD17,Btbd17,12.0
ENSG00000180176,ENSMUSG00000000214,TH,Th,12.0
ENSG00000254647,ENSMUSG00000000215,INS,Ins2,10.0
ENSG00000166828,ENSMUSG00000000216,SCNN1G,Scnn1g,12.0
ENSG00000102385,ENSMUSG00000000223,DRP2,Drp2,10.0
ENSG00000064201,ENSMUSG00000000244,TSPAN32,Tspan32,12.0
ENSG00000106689,ENSMUSG00000000247,LHX2,Lhx2,12.0
ENSG00000137198,ENSMUSG00000000253,GMPR,Gmpr,12.0
ENSG00000145888,ENSMUSG00000000263,GLRA1,Glra1,12.0
ENSG00000080561,ENSMUSG00000000266,MID2,Mid2,10.0
ENSG00000121060,ENSMUSG00000000275,TRIM25,Trim25,11.0
ENSG00000153933,ENSMUSG00000000276,DGKE,Dgke,12.0
ENSG00000121064,ENSMUSG00000000278,SCPEP1,Scpep1,11.0
ENSG00000070444,ENSMUSG00000000282,MNT,Mnt,11.0
ENSG00000160255,ENSMUSG00000000290,ITGB2,Itgb2,11.0
ENSG00000111906,ENSMUSG00000000295,HDDC2,Hddc2,12.0
ENSG00000111907,ENSMUSG00000000296,TPD52L1,Tpd52l1,12.0
ENSG00000133027,ENSMUSG00000000301,PEMT,Pemt,12.0
ENSG00000039068,ENSMUSG00000000303,CDH1,Cdh1,11.0
ENSG00000179242,ENSMUSG00000000305,CDH4,Cdh4,9.0
ENSG00000237289,ENSMUSG00000000308,CKMT1B,Ckmt1,9.0
ENSG00000161940,ENSMUSG00000000317,BCL6B,Bcl6b,12.0
ENSG00000132514,ENSMUSG00000000318,CLEC10A,Clec10a,7.0
ENSG00000108839,ENSMUSG00000000320,ALOX12,Alox12,12.0
ENSG00000099889,ENSMUSG00000000325,ARVCF,Arvcf,11.0
ENSG00000093010,ENSMUSG00000000326,COMT,Comt,11.0
ENSG00000137996,ENSMUSG00000000339,RTCA,Rtca,10.0
ENSG00000137992,ENSMUSG00000000340,DBT,Dbt,11.0
ENSG00000183283,ENSMUSG00000000346,DAZAP2,Dazap2,10.0
ENSG00000232119,ENSMUSG00000000355,MCTS1,Mcts1,11.0
ENSG00000088320,ENSMUSG00000000359,REM1,Rem1,12.0
ENSG00000132972,ENSMUSG00000000365,RNF17,Rnf17,10.0
ENSG00000160218,ENSMUSG00000000374,TRAPPC10,Trappc10,11.0
ENSG00000136280,ENSMUSG00000000378,CCM2,Ccm2,12.0
ENSG00000136270,ENSMUSG00000000384,TBRG4,Tbrg4,11.0
ENSG00000184012,ENSMUSG00000000385,TMPRSS2,Tmprss2,11.0
ENSG00000078098,ENSMUSG00000000392,FAP,Fap,12.0
ENSG00000115263,ENSMUSG00000000394,GCG,Gcg,9.0
ENSG00000139180,ENSMUSG00000000399,NDUFA9,Ndufa9,11.0
ENSG00000198759,ENSMUSG00000000402,EGFL6,Egfl6,10.0
ENSG00000182866,ENSMUSG00000000409,LCK,Lck,12.0
ENSG00000162526,ENSMUSG00000000411,TSSK3,Tssk3,12.0
ENSG00000077063,ENSMUSG00000000416,CTTNBP2,Cttnbp2,10.0
ENSG00000141429,ENSMUSG00000000420,GALNT1,Galnt1,10.0
ENSG00000111049,ENSMUSG00000000435,MYF5,Myf5,12.0
ENSG00000075975,ENSMUSG00000000439,MKRN2,Mkrn2,11.0
ENSG00000132170,ENSMUSG00000000440,PPARG,Pparg,11.0
ENSG00000132155,ENSMUSG00000000441,RAF1,Raf1,12.0
ENSG00000180096,ENSMUSG00000000486,SEPT1,Sept1,9.0
ENSG00000100311,ENSMUSG00000000489,PDGFB,Pdgfb,11.0
ENSG00000139567,ENSMUSG00000000530,ACVRL1,Acvrl1,10.0
ENSG00000161835,ENSMUSG00000000531,GRASP,Grasp,12.0
ENSG00000135503,ENSMUSG00000000532,ACVR1B,Acvr1b,12.0
