mouse_ensembl_gene,chromosome,strand,start,end,coding_start,coding_end,KO_intervals,mouse_symbol
ENSMUSG00000000001,chr3,-,108107280,108146146,108109425,108146005,"[[108109425, 108146146]]",Gnai3
ENSMUSG00000000028,chr16,-,18780447,18811987,18781901,18811565,"[[18781901, 18811987]]",Cdc45
ENSMUSG00000000037,chrX,+,161082525,161258213,161082681,161256691,"[[161082525, 161256691]]",Scml2
ENSMUSG00000000049,chr11,+,108343354,108414396,108395344,108414292,"[[108343354, 108414292]]",Apoh
ENSMUSG00000000056,chr11,+,121237253,121255856,121237325,121252919,"[[121237253, 121252919]]",Narf
ENSMUSG00000000058,chr6,+,17281185,17289115,17281361,17287097,"[[17281185, 17287097]]",Cav2
ENSMUSG00000000078,chr13,+,5861482,5870394,5861639,5867280,"[[5861482, 5867280]]",Klf6
ENSMUSG00000000085,chr4,+,120405307,120530184,120462080,120529887,"[[120405307, 120529887]]",Scmh1
ENSMUSG00000000088,chr9,+,57521279,57532426,57521328,57531779,"[[57521279, 57531779]]",Cox5a
ENSMUSG00000000093,chr11,+,85832551,85841948,85833107,85841011,"[[85832551, 85841011]]",Tbx2
ENSMUSG00000000094,chr11,+,85886422,85916097,85890063,85914742,"[[85886422, 85914742]]",Tbx4
ENSMUSG00000000120,chr11,-,95568818,95587735,95570806,95587558,"[[95570806, 95587735]]",Ngfr
ENSMUSG00000000125,chr11,+,103774150,103817957,103774269,103812757,"[[103774150, 103812757]]",Wnt3
ENSMUSG00000000126,chr11,+,59306928,59333552,59306973,59331372,"[[59306928, 59331372]]",Wnt9a
ENSMUSG00000000127,chr17,+,63863062,64139496,63896077,64139014,"[[63863062, 64139014]]",Fer
ENSMUSG00000000131,chr7,-,126101715,126200501,126102292,126199901,"[[126102292, 126200501]]",Xpo6
ENSMUSG00000000134,chrX,+,7762658,7775202,7762945,7773928,"[[7762658, 7773928]]",Tfe3
ENSMUSG00000000142,chr11,+,108920349,108950783,108923288,108949392,"[[108920349, 108949392]]",Axin2
ENSMUSG00000000148,chr5,+,140705011,140719379,140705111,140718594,"[[140705011, 140718594]]",Brat1
ENSMUSG00000000149,chr5,-,140758408,140830431,140760552,140830296,"[[140760552, 140830431]]",Gna12
ENSMUSG00000000154,chr7,+,143473736,143499334,143476198,143499269,"[[143473736, 143499269]]",Slc22a18
ENSMUSG00000000159,chr16,+,96361668,96422121,96364027,96421833,"[[96361668, 96421833]]",Igsf5
ENSMUSG00000000167,chr9,+,50617321,50624997,50618009,50624991,"[[50617321, 50624991]]",Pih1d2
ENSMUSG00000000168,chr9,-,50634633,50659780,50636428,50659466,"[[50636428, 50659780]]",Dlat
ENSMUSG00000000171,chr9,-,50596357,50603812,50597088,50603789,"[[50597088, 50603812]]",Sdhd
ENSMUSG00000000182,chr6,+,127072902,127081408,127073030,127080475,"[[127072902, 127080475]]",Fgf23
ENSMUSG00000000183,chr6,+,127015586,127028187,127015586,127024154,"[[127015586, 127024154]]",Fgf6
ENSMUSG00000000184,chr6,-,127125162,127152193,127130338,127150773,"[[127130338, 127152193]]",Ccnd2
ENSMUSG00000000194,chr2,+,31152316,31218775,31152359,31214337,"[[31152316, 31214337]]",Gpr107
ENSMUSG00000000197,chr14,-,123276634,123627144,123278171,123599950,"[[123278171, 123627144]]",Nalcn
ENSMUSG00000000202,chr11,-,114791217,114795897,114791451,114795848,"[[114791451, 114795897]]",Btbd17
ENSMUSG00000000214,chr7,-,142892752,142931128,142893034,142930623,"[[142893034, 142931128]]",Th
ENSMUSG00000000215,chr7,-,142678656,142743381,142678709,142679533,"[[142678709, 142743381]]",Ins2
ENSMUSG00000000216,chr7,+,121734479,121768475,121737918,121767546,"[[121734479, 121767546]]",Scnn1g
ENSMUSG00000000223,chrX,+,134404551,134456573,134423837,134452697,"[[134404551, 134452697]]",Drp2
ENSMUSG00000000244,chr7,+,143005046,143019644,143005110,143018765,"[[143005046, 143018765]]",Tspan32
ENSMUSG00000000247,chr2,+,38339281,38369733,38351774,38369126,"[[38339281, 38369126]]",Lhx2
ENSMUSG00000000253,chr13,+,45507444,45546382,45507657,45546050,"[[45507444, 45546050]]",Gmpr
ENSMUSG00000000263,chr11,-,55514238,55608198,55514816,55607733,"[[55514816, 55608198]]",Glra1
ENSMUSG00000000266,chrX,+,140664599,140767715,140678052,140763878,"[[140664599, 140763878]]",Mid2
ENSMUSG00000000275,chr11,+,88999376,89020293,88999489,89016718,"[[88999376, 89016718]]",Trim25
ENSMUSG00000000276,chr11,-,89035179,89066850,89040735,89060385,"[[89040735, 89066850]]",Dgke
ENSMUSG00000000278,chr11,-,88924020,88955465,88924665,88955369,"[[88924665, 88955465]]",Scpep1
ENSMUSG00000000282,chr11,+,74830920,74845725,74831329,74843775,"[[74830920, 74843775]]",Mnt
ENSMUSG00000000290,chr10,+,77530252,77565686,77541969,77565237,"[[77530252, 77565237]]",Itgb2
ENSMUSG00000000295,chr10,+,31313383,31328204,31313415,31327975,"[[31313383, 31327975]]",Hddc2
ENSMUSG00000000296,chr10,-,31332376,31445958,31332844,31445730,"[[31332844, 31445958]]",Tpd52l1
ENSMUSG00000000301,chr11,-,59970614,60046489,59970821,60046435,"[[59970821, 60046489]]",Pemt
ENSMUSG00000000303,chr8,+,106603351,106670246,106603495,106668612,"[[106603351, 106668612]]",Cdh1
ENSMUSG00000000305,chr2,+,179442431,179899373,179442622,179895915,"[[179442431, 179895915]]",Cdh4
ENSMUSG00000000308,chr2,+,121357714,121363737,121358850,121363611,"[[121357714, 121363611]]",Ckmt1
ENSMUSG00000000317,chr11,-,70224128,70229739,70226030,70229159,"[[70226030, 70229739]]",Bcl6b
ENSMUSG00000000318,chr11,+,70156197,70170834,70167944,70170714,"[[70156197, 70170714]]",Clec10a
ENSMUSG00000000320,chr11,-,70241457,70255353,70242388,70255272,"[[70242388, 70255353]]",Alox12
ENSMUSG00000000325,chr16,+,18348182,18407076,18389178,18405630,"[[18348182, 18405630]]",Arvcf
ENSMUSG00000000326,chr16,-,18406886,18426852,18407840,18411957,"[[18407840, 18426852]]",Comt
ENSMUSG00000000339,chr3,-,116488963,116508208,116489240,116507989,"[[116489240, 116508208]]",Rtca
ENSMUSG00000000340,chr3,+,116513070,116549981,116513141,116548197,"[[116513070, 116548197]]",Dbt
ENSMUSG00000000346,chr15,+,100615349,100620761,100615712,100619493,"[[100615349, 100619493]]",Dazap2
ENSMUSG00000000355,chrX,+,38600655,38613426,38600768,38613299,"[[38600655, 38613299]]",Mcts1
ENSMUSG00000000359,chr2,+,152626951,152635194,152628096,152634714,"[[152626951, 152634714]]",Rem1
ENSMUSG00000000365,chr14,+,56402581,56525032,56402701,56524401,"[[56402581, 56524401]]",Rnf17
ENSMUSG00000000374,chr10,-,78186725,78244641,78187859,78244502,"[[78187859, 78244641]]",Trappc10
ENSMUSG00000000378,chr11,+,6546887,6596744,6547000,6596358,"[[6546887, 6596358]]",Ccm2
ENSMUSG00000000384,chr11,-,6615599,6626067,6616616,6624220,"[[6616616, 6626067]]",Tbrg4
ENSMUSG00000000385,chr16,-,97564682,97611195,97566143,97599269,"[[97566143, 97611195]]",Tmprss2
ENSMUSG00000000392,chr2,-,62500943,62574075,62501187,62573851,"[[62501187, 62574075]]",Fap
ENSMUSG00000000394,chr2,-,62474530,62483650,62474981,62480556,"[[62474981, 62483650]]",Gcg
ENSMUSG00000000399,chr6,-,126821721,126849125,126822022,126849112,"[[126822022, 126849125]]",Ndufa9
ENSMUSG00000000402,chrX,-,166523007,166585720,166523864,166585523,"[[166523864, 166585720]]",Egfl6
ENSMUSG00000000409,chr4,-,129548344,129573641,129548801,129558315,"[[129548801, 129573641]]",Lck
ENSMUSG00000000411,chr4,-,129489014,129491022,129489074,129490606,"[[129489074, 129491022]]",Tssk3
ENSMUSG00000000416,chr6,-,18366565,18514821,18367374,18514735,"[[18367374, 18514821]]",Cttnbp2
ENSMUSG00000000420,chr18,+,24205344,24286818,24238347,24284853,"[[24205344, 24284853]]",Galnt1
ENSMUSG00000000435,chr10,-,107482908,107486134,107484023,107485931,"[[107484023, 107486134]]",Myf5
ENSMUSG00000000439,chr6,+,115601902,115622624,115601988,115617728,"[[115601902, 115617728]]",Mkrn2
ENSMUSG00000000440,chr6,+,115360951,115490399,115422111,115490192,"[[115360951, 115490192]]",Pparg
ENSMUSG00000000441,chr6,-,115618569,115676635,115618847,115644616,"[[115618847, 115676635]]",Raf1
ENSMUSG00000000486,chr7,-,127214462,127232646,127214761,127218409,"[[127214761, 127232646]]",Sept1
ENSMUSG00000000489,chr15,-,79995874,80014808,79997583,80013998,"[[79997583, 80014808]]",Pdgfb
ENSMUSG00000000530,chr15,+,101128522,101145336,101134680,101143474,"[[101128522, 101143474]]",Acvrl1
ENSMUSG00000000531,chr15,+,101224188,101232756,101224302,101232013,"[[101224188, 101232013]]",Grasp
ENSMUSG00000000532,chr15,+,101174067,101213684,101174145,101210859,"[[101174067, 101210859]]",Acvr1b
ENSMUSG00000000538,chr11,-,60226714,60352905,60230096,60352808,"[[60230096, 60352905]]",Tom1l2
ENSMUSG00000000544,chr1,+,166130238,166166510,166130562,166165276,"[[166130238, 166165276]]",Gpa33
ENSMUSG00000000552,chr15,-,103313895,103340093,103314998,103340056,"[[103314998, 103340093]]",Zfp385a
ENSMUSG00000000555,chr15,-,103344286,103366763,103345272,103366526,"[[103345272, 103366763]]",Itga5
ENSMUSG00000000560,chr5,-,70957597,71095849,70961805,71094602,"[[70961805, 71095849]]",Gabra2
ENSMUSG00000000561,chr3,+,105959369,105969760,105959584,105967319,"[[105959369, 105967319]]",Wdr77
ENSMUSG00000000563,chr3,-,105942698,105960099,105942989,105959187,"[[105942989, 105960099]]",Atp5f1
ENSMUSG00000000567,chr11,+,112782224,112787760,112782585,112785507,"[[112782224, 112785507]]",Sox9
ENSMUSG00000000568,chr5,-,99955935,99978938,99962548,99978624,"[[99962548, 99978938]]",Hnrnpd
ENSMUSG00000000581,chr11,+,17257594,17269176,17262657,17266692,"[[17257594, 17266692]]",C1d
ENSMUSG00000000594,chr11,+,55098115,55113029,55098164,55109530,"[[55098115, 55109530]]",Gm2a
ENSMUSG00000000600,chr5,+,3803184,3845564,3804415,3845504,"[[3803184, 3845504]]",Krit1
ENSMUSG00000000605,chr7,-,7282309,7299533,7284187,7296828,"[[7284187, 7299533]]",Clcn4
ENSMUSG00000000617,chr11,+,50850685,50866206,50851142,50864655,"[[50850685, 50864655]]",Grm6
ENSMUSG00000000627,chr6,-,82911885,82939769,82913494,82939623,"[[82913494, 82939769]]",Sema4f
ENSMUSG00000000628,chr6,-,82725025,82774454,82727313,82773980,"[[82727313, 82774454]]",Hk2
ENSMUSG00000000631,chr11,+,77763246,77865980,77777316,77864832,"[[77763246, 77864832]]",Myo18a
ENSMUSG00000000632,chr11,+,77930800,77979048,77931060,77978055,"[[77930800, 77978055]]",Sez6
ENSMUSG00000000673,chr17,-,83831156,83846812,83831646,83846716,"[[83831646, 83846812]]",Haao
ENSMUSG00000000682,chr4,-,134093536,134095082,134093730,134094984,"[[134093730, 134095082]]",Cd52
ENSMUSG00000000686,chr11,+,77515121,77538607,77515199,77538337,"[[77515121, 77538337]]",Abhd15
ENSMUSG00000000690,chr11,+,96292476,96301569,96299177,96300925,"[[96292476, 96300925]]",Hoxb6
ENSMUSG00000000693,chr6,+,83034173,83052562,83035482,83050870,"[[83034173, 83050870]]",Loxl3
ENSMUSG00000000706,chr13,-,23456992,23465901,23458706,23465180,"[[23458706, 23465901]]",Btn1a1
ENSMUSG00000000708,chr17,+,53566971,53672720,53567330,53671830,"[[53566971, 53671830]]",Kat2b
ENSMUSG00000000711,chr10,-,128677175,128696264,128679533,128686910,"[[128679533, 128696264]]",Rab5b
ENSMUSG00000000724,chr11,-,77718627,77725283,77718758,77725281,"[[77718758, 77725283]]",Cryba1
ENSMUSG00000000730,chr10,+,78042287,78063622,78050083,78063346,"[[78042287, 78063346]]",Dnmt3l
ENSMUSG00000000731,chr10,-,78030022,78043580,78030247,78043523,"[[78030247, 78043580]]",Aire
ENSMUSG00000000732,chr10,+,78069302,78083913,78069525,78083252,"[[78069302, 78083252]]",Icosl
ENSMUSG00000000738,chr8,+,123062942,123097760,123065527,123097555,"[[123062942, 123097555]]",Spg7
ENSMUSG00000000740,chr8,+,123102350,123105244,123102659,123105199,"[[123102350, 123105199]]",Rpl13
ENSMUSG00000000743,chr8,-,123204264,123212760,123205728,123212672,"[[123205728, 123212760]]",Chmp1a
ENSMUSG00000000751,chr11,-,75298166,75348324,75301308,75348258,"[[75301308, 75348324]]",Rpa1
ENSMUSG00000000753,chr11,-,75409769,75422701,75410137,75417989,"[[75410137, 75422701]]",Serpinf1
ENSMUSG00000000759,chr8,-,12614277,12672248,12615141,12672030,"[[12615141, 12672248]]",Tubgcp3
ENSMUSG00000000766,chr10,+,6758506,7038198,6758611,7037158,"[[6758506, 7037158]]",Oprm1
ENSMUSG00000000776,chr14,-,70438757,70443447,70439459,70443115,"[[70439459, 70443447]]",Polr3d
ENSMUSG00000000782,chr11,-,52252371,52283331,52253886,52283179,"[[52253886, 52283331]]",Tcf7
ENSMUSG00000000787,chrX,+,13280970,13294052,13281113,13291489,"[[13280970, 13291489]]",Ddx3x
ENSMUSG00000000791,chr8,+,70808449,70821424,70808552,70820868,"[[70808449, 70820868]]",Il12rb1
ENSMUSG00000000792,chr8,-,70882889,70892757,70883867,70892661,"[[70883867, 70892757]]",Slc5a5
ENSMUSG00000000794,chr3,+,89520164,89667761,89520469,89667378,"[[89520164, 89667378]]",Kcnn3
ENSMUSG00000000804,chr11,-,84984442,85140038,84986413,85139768,"[[84986413, 85140038]]",Usp32
ENSMUSG00000000805,chr11,+,84957788,84966044,84957887,84965802,"[[84957788, 84965802]]",Car4
ENSMUSG00000000811,chr6,+,89643988,89675529,89644244,89674794,"[[89643988, 89674794]]",Txnrd3
ENSMUSG00000000817,chr1,-,161780689,161788495,161781579,161788285,"[[161781579, 161788495]]",Fasl
ENSMUSG00000000823,chr2,-,181582103,181592803,181584825,181590983,"[[181584825, 181592803]]",Zfp512b
ENSMUSG00000000826,chr2,+,181520485,181555133,181546382,181549373,"[[181520485, 181549373]]",Dnajc5
ENSMUSG00000000827,chr2,+,181497165,181517966,181497314,181515172,"[[181497165, 181515172]]",Tpd52l2
ENSMUSG00000000838,chrX,+,68678541,68717963,68678817,68715672,"[[68678541, 68715672]]",Fmr1
ENSMUSG00000000861,chr11,+,24078056,24174123,24078391,24172797,"[[24078056, 24172797]]",Bcl11a
ENSMUSG00000000869,chr11,-,53612460,53618669,53612567,53618606,"[[53612567, 53618669]]",Il4
ENSMUSG00000000876,chr2,-,154585758,154603708,154587832,154603629,"[[154587832, 154603708]]",Pxmp4
ENSMUSG00000000881,chrX,+,100767722,100818408,100768072,100816322,"[[100767722, 100816322]]",Dlg3
ENSMUSG00000000884,chr16,+,18498713,18566679,18540451,18564283,"[[18498713, 18564283]]",Gnb1l
ENSMUSG00000000889,chr2,+,27165233,27183200,27165516,27182797,"[[27165233, 27182797]]",Dbh
ENSMUSG00000000901,chr10,-,75923222,75936496,75923341,75932453,"[[75923341, 75936496]]",Mmp11
ENSMUSG00000000902,chr10,-,75896769,75921617,75897052,75921395,"[[75897052, 75921617]]",Smarcb1
ENSMUSG00000000903,chr10,+,75943057,75949657,75943218,75949459,"[[75943057, 75949459]]",Vpreb3
ENSMUSG00000000915,chr5,+,123973628,124005558,123973763,124002162,"[[123973628, 124002162]]",Hip1r
ENSMUSG00000000916,chr5,+,135369953,135376798,135369984,135375981,"[[135369953, 135375981]]",Nsun5
ENSMUSG00000000934,chr15,-,75657035,75678800,75657115,75678756,"[[75657115, 75678800]]",Top1mt
ENSMUSG00000000938,chr6,-,52231197,52240854,52232509,52240287,"[[52232509, 52240854]]",Hoxa10
ENSMUSG00000000942,chr6,-,52189671,52191753,52190345,52191688,"[[52190345, 52191753]]",Hoxa4
ENSMUSG00000000957,chr14,+,54431612,54445364,54431866,54444033,"[[54431612, 54444033]]",Mmp14
ENSMUSG00000000958,chr14,-,54369442,54417780,54369789,54409004,"[[54369789, 54417780]]",Slc7a7
ENSMUSG00000000959,chr14,+,54360841,54369673,54360855,54368448,"[[54360841, 54368448]]",Oxa1l
ENSMUSG00000000976,chr11,+,83753696,83783754,83753723,83781719,"[[83753696, 83781719]]",Heatr6
