chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	4866587	4866586	4866867	False	0	1	1	0
1	6737854	6737856	6737686	True	1	0	13	0
1	6737854	6737856	6737513	True	1	0	19	0
1	6737854	6737856	6737705	True	1	0	5	0
1	6737854	6737856	6737706	True	1	0	5	0
1	6737854	6737856	6737505	True	1	0	6	0
1	6737854	6737856	6737697	True	1	0	5	0
1	6737854	6737856	6737593	True	1	0	1	0
1	6737854	6737856	6737779	True	1	0	2	0
1	6737854	6737856	6737306	True	1	0	1	0
1	6737854	6737856	6737791	True	1	0	2	0
1	10694006	10694005	10694034	True	0	1	1	0
1	10798241	10798243	10798046	True	1	0	8	0
1	13245037	13245039	13244914	True	1	0	3	0
1	13743879	13743878	13744044	True	0	1	12	0
1	18785035	18785034	18785091	True	0	1	1	0
1	21453043	21453045	21452958	True	1	0	2	0
1	21453283	21453285	21453175	True	1	0	1	0
1	21694319	21694321	21694174	True	1	0	14	0
1	23626220	23626219	23626305	True	0	1	1	0
1	24704531	24704530	24704613	True	0	1	3	0
1	24704531	24704530	24704617	True	0	1	1	0
1	24704531	24704530	24704630	True	0	1	1	0
1	24704531	24704530	24704674	True	0	1	7	0
1	29812525	29812524	29812664	True	0	1	8	0
1	35620009	35620008	35620153	True	0	1	4	0
1	38385059	38385061	38385030	True	1	0	1	0
1	38490855	38490857	38490513	True	1	0	6	0
1	42649126	42649128	42649025	True	1	0	4	0
1	43312743	43312745	43312667	True	1	0	2	0
1	44137551	44137553	44137271	True	1	0	20	0
1	51290113	51290115	51289504	True	1	0	6	0
1	59917584	59917586	59917457	True	1	0	6	0
1	60257051	60257050	60257154	True	0	1	6	0
1	62018204	62018203	62018363	True	0	1	8	0
1	64078115	64078117	64078059	True	1	0	1	0
1	64852771	64852773	64852397	False	1	0	15	0
1	65726931	65726933	65726779	True	1	0	2	0
1	66814548	66814550	66814512	True	1	0	1	0
1	67966691	67966693	67966628	True	1	0	1	0
