chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	60507179	60507178	60507342	False	0	1	2	0
1	106150911	106150913	106150657	True	1	0	1	0
1	106333732	106333734	106333505	True	1	0	1	0
1	106333732	106333734	106333568	True	1	0	1	0
1	106333732	106333734	106333598	True	1	0	1	0
1	106333732	106333734	106333548	True	1	0	1	0
1	106333732	106333734	106333549	True	1	0	3	0
1	106333732	106333734	106333503	True	1	0	1	0
1	106333732	106333734	106333438	True	1	0	1	0
1	106333732	106333734	106333507	True	1	0	1	0
1	106333732	106333734	106333478	True	1	0	1	0
1	106333732	106333734	106333304	True	1	0	1	0
1	106333732	106333734	106333542	True	1	0	1	0
1	106333732	106333734	106333466	True	1	0	1	0
1	106333732	106333734	106333622	True	1	0	1	0
1	106333732	106333734	106333490	True	1	0	1	0
1	106333732	106333734	106333474	True	1	0	2	0
1	106333732	106333734	106333551	True	1	0	1	0
1	106333732	106333734	106333524	True	1	0	1	0
1	106333732	106333734	106333593	True	1	0	1	0
1	106333732	106333734	106333497	True	1	0	1	0
1	106333732	106333734	106333486	True	1	0	1	0
1	106333732	106333734	106333533	True	1	0	1	0
1	106333732	106333734	106333481	True	1	0	1	0
1	106333732	106333734	106333435	True	1	0	1	0
1	106333732	106333734	106333402	True	1	0	1	0
1	136685668	136685667	136685685	False	0	1	1	0
1	142244629	142244628	142244718	True	0	1	1	0
1	167000736	167000738	167000566	True	1	0	1	0
2	33793724	33793723	33794149	True	0	1	1	0
2	48818886	48818888	48818681	True	1	0	13	0
2	98667189	98667191	98666930	False	1	0	22	0
2	98667306	98667308	98667081	False	1	0	1	0
2	98667130	98667129	98667303	False	0	1	6	0
3	30050043	30050045	30049885	True	1	0	1	0
3	51436846	51436848	51436540	False	1	0	12	0
3	136285184	136285183	136285424	False	0	1	13	0
3	142788299	142788298	142788316	False	0	1	51	1
3	142788299	142788298	142788317	False	0	1	1	0
3	154965962	154965961	154965979	False	0	1	1	0
4	NA	NA	22925581	False	1	1	1	0
4	68973793	68973795	68973690	False	1	0	1	0
4	76432364	76432363	76432510	True	0	1	2	0
4	100176790	100176789	100176988	True	0	1	4	0
4	108388211	108388213	108388041	True	1	0	15	0
4	129127043	129127042	129127607	False	0	1	6	0
4	132982009	132982011	132981740	False	1	0	1	0
4	141140442	141140441	83053636	True	0	1	1	0
4	141522769	141522771	141522625	True	1	0	1	0
5	16938236	16938238	NA	True	1	1	1	0
5	24102067	24102066	24102308	False	0	1	25	0
5	NA	NA	28169886	False	1	1	15	0
5	NA	NA	28169895	False	1	1	2	0
5	NA	NA	28169943	False	1	1	2	22
5	NA	NA	28169948	False	1	1	16	0
5	NA	NA	28169989	False	1	1	1	0
5	43240265	43240267	43240150	True	1	0	5	0
5	63285025	63285024	63285112	True	0	1	1	0
5	83746983	83746985	83746827	True	1	0	1	0
5	88598336	88598335	88598527	True	0	1	1	0
5	104983082	104983084	104982623	True	1	0	1	0
5	146758481	146758480	146758743	True	0	1	1	0
5	150859648	150859650	150859385	True	1	0	1	0
6	16348878	16348880	16348685	True	1	0	1	0
6	103610539	103610541	103610523	True	1	0	1	0
7	14012158	14012157	14012425	True	0	1	1	0
7	74917132	74917134	74916937	True	1	0	1	0
7	87074996	87074995	87075135	True	0	1	6	0
7	99308368	99308370	99308201	True	1	0	1	0
7	101296704	101296706	101296544	True	1	0	1	0
7	110527343	110527342	110527498	True	0	1	2	0
5	136982822	136982824	137606024	False	1	0	1	0
7	137606220	137606222	137606024	True	1	0	17	0
8	5237930	5237932	5237623	False	1	0	12	0
8	23911917	23911919	23911587	True	1	0	1	0
8	NA	NA	111808179	False	0	0	11	0
9	34916811	34916813	34916674	False	1	0	7	0
9	53403391	53403393	NA	True	1	1	1	0
9	85835889	85835891	85835642	True	1	0	1	0
9	86028005	86028004	86028190	True	0	1	1	0
10	3741289	3741288	3741562	True	0	1	1	0
10	12789692	12789694	12789584	True	1	0	1	0
10	13862258	13862257	13862429	True	0	1	1	0
10	17083512	17083511	17083631	True	0	1	1	0
10	43758333	43758335	43758160	True	1	0	8	0
10	49068387	49068386	49068661	True	0	1	1	0
10	56212374	56212376	56212206	True	1	0	4	0
10	59238130	59238129	59238619	False	0	1	8	0
10	59576268	59576267	59576410	True	0	1	3	0
10	63934941	63934940	63935390	False	0	1	12	0
10	66193408	66193407	66193488	True	0	1	2	0
10	66345086	66345085	157281237	True	0	0	4	0
10	70093735	70093737	70093482	False	1	0	7	0
10	84183007	84183006	84183307	True	0	1	1	0
10	89355932	89355934	89355807	True	1	0	1	0
10	91294212	91294214	91293986	True	1	0	1	0
10	91581686	91581688	NA	True	1	1	1	0
10	94705156	94705155	94705309	True	0	1	4	0
10	107147216	107147218	107147046	True	1	0	13	0
10	115314405	115314404	115314523	True	0	1	1	0
10	121763265	121763267	81726562	False	1	1	1	0
10	129890863	129890865	129890710	True	1	0	12	0
11	5191441	5191443	5191106	True	1	0	4	0
11	5191441	5191443	5191111	True	1	0	1	0
11	35281760	35281762	35281604	True	1	0	6	0
11	53962674	53962673	53962803	True	0	1	1	0
11	81603276	81603278	81602990	False	1	0	23	0
11	81603276	81603278	NA	False	1	1	1	0
11	84135551	84135550	84135738	True	0	1	14	0
11	89027490	89027492	89027165	False	1	0	11	0
11	107707334	107707336	107707151	True	1	0	11	0
11	118290853	118290852	118291071	True	0	1	1	0
12	12681636	12681635	12681783	True	0	1	5	0
12	12681636	12681635	12681838	True	0	1	2	0
12	12877237	12877239	12877097	True	1	0	3	0
12	13117646	13117645	13117886	True	0	1	11	0
10	121763272	121763274	13117886	False	1	1	1	0
12	13249649	13249651	13249551	True	1	0	2	0
12	13267894	13267893	13268072	True	0	1	1	0
12	13782514	13782513	13782654	True	0	1	10	0
7	90442017	90442019	13819082	False	1	0	1	0
10	121763275	121763277	13819154	False	1	0	1	0
12	13819306	13819308	13819112	True	1	0	7	0
12	13819306	13819308	13819190	True	1	0	6	0
12	13819306	13819308	13819154	True	1	0	10	0
12	13819306	13819308	13818920	True	1	0	14	0
12	13819306	13819308	13819174	True	1	0	1	0
12	13819306	13819308	13819123	True	1	0	13	0
12	13819306	13819308	13819082	True	1	0	29	0
12	13819306	13819308	13818998	True	1	0	19	0
12	13819306	13819308	13819182	True	1	0	1	0
12	13819306	13819308	13819104	True	1	0	6	0
12	13819306	13819308	13819091	True	1	0	18	0
