chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	39387439	39387438	39387600	True	0	1	1	0
1	41605758	41605757	41605841	True	0	1	1	0
1	97967189	97967191	97966973	True	1	0	1	0
1	106333732	106333734	106333529	True	1	0	1	0
1	132875614	132875613	132875853	False	0	1	1	0
1	148838047	148838049	NA	False	1	1	1	0
1	167000736	167000738	167000520	True	1	0	1	0
1	185139026	185139025	185139268	True	0	1	1	0
2	3534985	3534987	3534694	False	1	0	1	0
2	6971031	6971030	6971293	False	0	1	1	0
2	18161346	18161345	18161475	True	0	1	68	0
2	98667155	98667157	98667038	False	1	0	1	0
2	98667317	98667319	98667251	False	1	0	1	0
2	104839001	104839000	104839148	False	0	1	1	0
2	109891557	109891559	109891250	True	1	0	1	0
2	139071169	139071168	139071343	True	0	1	1	0
2	148680366	148680368	148679999	True	1	0	303	0
2	148680366	148680368	148680002	True	1	0	1	0
2	148680366	148680368	NA	True	1	1	1	0
3	24441915	24441917	24441667	True	1	0	1	0
3	35844493	35844495	35844232	False	1	0	1	0
4	30380502	30380501	30380576	True	0	1	1	0
5	59278705	59278704	59278892	True	0	1	1	0
5	59398164	59398163	59398378	True	0	1	1	0
5	59523191	59523190	59523419	True	0	1	1	0
5	98611549	98611551	98611403	True	1	0	1	0
5	129579321	129579323	129578972	False	1	0	1	0
6	111856606	111856605	111856864	False	0	1	1	0
7	90442019	90442021	148932198	False	1	0	1	0
7	90442020	90442022	136750587	False	1	0	1	0
7	90442017	90442019	73564254	False	1	0	1	0
7	130158097	130158096	130158340	False	0	1	1	0
9	119578274	119578273	119578376	False	0	1	38	0
10	33530073	33530072	33530263	True	0	1	1	0
10	67125364	67125363	67125482	True	0	1	1	0
10	83081068	83081067	83081393	True	0	1	1	0
10	111499474	111499473	111499618	True	0	1	1	0
10	127411952	127411954	127411751	True	1	0	1	0
10	121763272	121763274	37205855	False	1	1	1	0
11	118290853	118290852	118291071	True	0	1	1	0
7	90442017	90442019	120258470	False	1	0	1	0
7	90442017	90442019	94981486	False	1	0	1	0
10	121763272	121763274	94981487	False	1	0	1	0
7	90442017	90442019	94981487	False	1	0	1	0
10	121763272	121763274	94981516	False	1	0	1	0
5	136982819	136982821	94981516	False	1	0	1	0
10	121763272	121763274	94981556	False	1	0	1	0
7	90442017	90442019	94981559	False	1	0	1	0
12	NA	NA	94981569	False	0	0	1	0
1	93449615	93449617	94981569	False	1	0	1	0
7	90442017	90442019	94981569	False	1	0	2	0
4	109988408	109988407	94981577	False	0	0	1	0
8	118847254	118847256	94981578	False	1	0	1	0
8	118847254	118847256	94981583	False	1	0	1	0
5	104072359	104072361	94981584	False	1	0	1	0
7	90442017	90442019	94981586	False	1	0	1	0
10	121763272	121763274	94981593	False	1	0	1	0
7	90442017	90442019	94981595	False	1	0	1	0
7	90442017	90442019	94981605	False	1	0	1	0
11	115640767	115640769	94981605	False	1	0	1	0
10	121763272	121763274	94981605	False	1	0	1	0
1	192660476	192660475	94981606	False	0	0	1	0
7	90442017	90442019	94981608	False	1	0	2	0
6	89053647	89053646	94981608	False	0	0	1	0
4	109988408	109988407	94981609	False	0	0	1	0
1	192660476	192660475	94981614	False	0	0	1	0
1	57223550	57223549	94981614	False	0	0	1	0
7	90442017	90442019	94981616	False	1	0	1	0
7	90442017	90442019	94981618	False	1	0	1	0
7	90442013	90442015	94981621	False	1	0	1	0
7	90442017	90442019	94981625	False	1	0	1	0
10	121763261	121763263	94981625	False	1	0	1	0
