chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	7874928	7874930	7874832	True	1	0	3	0
1	54629634	54629633	54629741	True	0	1	5	0
1	56971634	56971633	56971914	False	0	1	13	0
1	56971634	56971633	56971902	False	0	1	1	0
1	56971634	56971633	56971909	False	0	1	1	0
1	64807201	64807200	64807313	True	0	1	1	0
1	88559553	88559552	NA	True	0	0	1	0
1	101282975	101282974	NA	False	0	0	1	0
1	138536888	138536890	138536704	True	1	0	1	0
1	147103129	147103128	147103601	False	0	1	10	0
1	159835684	159835683	NA	True	0	0	1	0
2	7593354	7593356	7593047	True	1	0	1	0
2	23447383	23447382	23447750	False	0	1	13	0
2	61480946	61480948	NA	True	1	1	1	0
2	64919314	64919313	NA	False	0	0	1	0
2	88008155	88008154	88008236	True	0	1	1	0
2	98667194	98667196	98667098	False	1	0	1	0
2	118883264	118883263	NA	True	0	0	1	0
2	127212882	127212884	NA	True	1	1	1	0
2	153433629	153433628	NA	True	0	0	1	0
2	171096198	171096197	171096369	True	0	1	1	0
3	4663999	4663998	4664113	True	0	1	1	0
3	4663999	4663998	4664180	True	0	1	1	0
3	32363979	32363981	32363718	True	1	0	1	0
3	146752477	146752476	146752523	True	0	1	1	0
4	13782848	13782850	13782686	True	1	0	1	0
4	15464658	15464660	15464319	True	1	0	1	0
4	20149793	20149792	NA	False	0	0	1	0
4	51106234	51106233	51106346	False	0	1	5	0
4	82092343	82092342	82092522	True	0	1	1	0
4	82504923	82504922	NA	True	0	0	1	0
4	125615202	125615201	NA	True	0	0	1	0
4	131985658	131985657	NA	True	0	0	1	0
4	154388400	154388399	154388651	True	0	1	1	0
5	5211782	5211781	5212110	True	0	1	1	0
5	8621865	8621864	8622080	True	0	1	1	0
5	10278481	10278483	10278176	True	1	0	9	0
5	12032484	12032486	12032415	True	1	0	3	0
5	17743879	17743878	17744047	True	0	1	17	0
5	21786276	21786278	NA	True	1	1	1	0
5	33912620	33912622	33912484	True	1	0	1	0
5	44711022	44711024	44710987	True	1	0	2	0
5	45336549	45336551	45336354	True	1	0	1	0
5	46521011	46521010	46521106	True	0	1	3	0
5	48109227	48109226	48109338	True	0	1	1	0
5	48123134	48123136	48123022	True	1	0	2	0
5	55635255	55635254	55635286	True	0	1	1	0
