mouse_ensembl_gene,chromosome,KO_intervals,KO_ttaas
ENSMUSG00000000544,1,"[[166130238, 166165276]]",127
ENSMUSG00000000817,1,"[[161781579, 161788495]]",28
ENSMUSG00000001138,1,"[[36511867, 36525227]]",44
ENSMUSG00000001143,1,"[[36419962, 36445271]]",113
ENSMUSG00000001305,1,"[[186721406, 186749358]]",138
ENSMUSG00000001674,1,"[[121553999, 121567989]]",71
ENSMUSG00000002459,1,"[[4910477, 5070285]]",898
ENSMUSG00000002881,1,"[[52459221, 52500679]]",286
ENSMUSG00000003051,1,"[[135254269, 135258568]]",7
ENSMUSG00000003134,1,"[[39372352, 39478755]]",484
ENSMUSG00000003135,1,"[[39534992, 39545263]]",58
ENSMUSG00000003458,1,"[[172066677, 172082795]]",68
ENSMUSG00000003464,1,"[[172126755, 172134287]]",41
ENSMUSG00000003721,1,"[[121305909, 121332589]]",185
ENSMUSG00000004031,1,"[[158246201, 158356326]]",594
ENSMUSG00000004110,1,"[[154398396, 154864067]]",2239
ENSMUSG00000004364,1,"[[80267159, 80340480]]",763
ENSMUSG00000004451,1,"[[119471709, 119504794]]",119
ENSMUSG00000004552,1,"[[131638306, 131674942]]",152
ENSMUSG00000004707,1,"[[171589063, 171607410]]",91
ENSMUSG00000004709,1,"[[171559193, 171582881]]",102
ENSMUSG00000004768,1,"[[33719895, 33739389]]",109
ENSMUSG00000004872,1,"[[78102804, 78197134]]",623
ENSMUSG00000004880,1,"[[181816861, 181843046]]",148
ENSMUSG00000005338,1,"[[173337024, 173367695]]",133
ENSMUSG00000005339,1,"[[173221493, 173227214]]",37
ENSMUSG00000005501,1,"[[87946599, 88008551]]",411
ENSMUSG00000005674,1,"[[171219524, 171222514]]",5
ENSMUSG00000005677,1,"[[171213970, 171218715]]",16
ENSMUSG00000005681,1,"[[171225054, 171226263]]",5
ENSMUSG00000005763,1,"[[165788681, 165869119]]",314
ENSMUSG00000005886,1,"[[13142764, 13374083]]",1368
ENSMUSG00000006005,1,"[[150392838, 150449784]]",549
ENSMUSG00000006007,1,"[[150319417, 150333499]]",130
ENSMUSG00000006010,1,"[[150362824, 150393080]]",255
ENSMUSG00000006014,1,"[[150449987, 150466165]]",102
ENSMUSG00000006299,1,"[[74280237, 74284738]]",15
ENSMUSG00000006301,1,"[[74289375, 74305622]]",44
ENSMUSG00000006304,1,"[[74236084, 74267792]]",199
ENSMUSG00000006403,1,"[[171250421, 171259175]]",21
ENSMUSG00000006411,1,"[[171370099, 171386802]]",39
ENSMUSG00000006412,1,"[[171345670, 171358023]]",80
ENSMUSG00000006538,1,"[[74946092, 74951672]]",8
ENSMUSG00000006542,1,"[[74740708, 74749221]]",28
ENSMUSG00000006546,1,"[[74889992, 74893143]]",3
ENSMUSG00000006576,1,"[[75546266, 75558887]]",21
ENSMUSG00000007097,1,"[[172274704, 172298064]]",83
ENSMUSG00000007107,1,"[[172223801, 172258414]]",174
ENSMUSG00000007122,1,"[[172210348, 172219868]]",22
ENSMUSG00000007805,1,"[[91801461, 91802106]]",0
ENSMUSG00000008136,1,"[[43123517, 43196984]]",359
ENSMUSG00000008475,1,"[[152766542, 152774319]]",60
ENSMUSG00000009418,1,"[[135441687, 135688105]]",966
ENSMUSG00000009633,1,"[[193272466, 193273217]]",0
ENSMUSG00000009772,1,"[[132316126, 132332378]]",49
ENSMUSG00000009905,1,"[[106724905, 106759727]]",162
ENSMUSG00000009907,1,"[[106772450, 106796728]]",201
ENSMUSG00000010175,1,"[[190123223, 190170714]]",253
ENSMUSG00000010290,1,"[[43098710, 43113239]]",88
ENSMUSG00000010311,1,"[[133897803, 133907999]]",30
ENSMUSG00000010453,1,"[[36337634, 36369181]]",159
ENSMUSG00000010609,1,"[[180227576, 180263438]]",120
ENSMUSG00000012187,1,"[[78510991, 78538095]]",118
ENSMUSG00000013275,1,"[[131827977, 131846732]]",44
ENSMUSG00000013593,1,"[[171235053, 171251388]]",53
